open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1685836800000,0.072730,0.072810,0.072570,0.072570,58111,1685840399999,7991414.35896069,552,32165,4423366.92460593,0
1685840400000,0.072560,0.072840,0.072460,0.072810,53032,1685843999999,7295310.71792492,603,33598,4623711.39498059,0
1685844000000,0.072810,0.072910,0.072760,0.072890,44538,1685847599999,6114303.39220985,536,17873,2454061.38174553,0
1685847600000,0.072870,0.072880,0.072560,0.072630,56754,1685851199999,7808910.02780948,602,28194,3881046.15696896,0
1685851200000,0.072630,0.072790,0.072600,0.072610,21745,1685854799999,2990896.00646854,286,10155,1397024.07767085,0
1685854800000,0.072610,0.072660,0.072570,0.072650,10994,1685858399999,1514209.52430823,155,5738,790289.82877620,0
1685858400000,0.072640,0.072880,0.072630,0.072880,33660,1685861999999,4623188.74299656,401,19183,2634961.62288128,0
1685862000000,0.072890,0.072950,0.072810,0.072870,36496,1685865599999,5007575.59905092,526,14157,1942758.98186236,0
1685865600000,0.072880,0.072890,0.072810,0.072830,8066,1685869199999,1107418.18998778,171,3776,518389.12238184,0
1685869200000,0.072840,0.073070,0.072840,0.073020,43473,1685872799999,5956725.15318858,644,22442,3075506.74511970,0
1685872800000,0.073030,0.073100,0.072890,0.072940,62254,1685876399999,8528919.08260126,888,28704,3932758.13282371,0
1685876400000,0.072920,0.072930,0.072760,0.072880,34045,1685879999999,4674071.33895892,431,19274,2646082.32432850,0
1685880000000,0.072880,0.072890,0.072690,0.072860,50505,1685883599999,6939812.17518720,660,19946,2741456.42907813,0
1685883600000,0.072860,0.072990,0.072710,0.072890,43451,1685887199999,5966213.91353040,594,20817,2858103.56328453,0
1685887200000,0.072890,0.072990,0.072660,0.072870,131116,1685890799999,18006222.57703100,1177,37643,5168485.29469480,0
1685890800000,0.072870,0.072870,0.072630,0.072690,56968,1685894399999,7830314.53033614,642,28039,3854514.82931620,0
1685894400000,0.072690,0.072780,0.072630,0.072700,26465,1685897999999,3640400.78461563,419,13420,1846031.05884982,0
1685898000000,0.072690,0.072800,0.072670,0.072670,18604,1685901599999,2557567.02354741,336,6833,939251.79471339,0
1685901600000,0.072670,0.072950,0.072610,0.072900,44157,1685905199999,6062828.12769000,600,22358,3071158.93973266,0
1685905200000,0.072890,0.072970,0.072820,0.072880,63615,1685908799999,8728856.98592435,701,25016,3432236.05975341,0
1685908800000,0.072870,0.073000,0.072840,0.072950,16171,1685912399999,2217397.79223324,224,6616,907399.09982059,0
1685912400000,0.072950,0.072960,0.072810,0.072850,21828,1685915999999,2994467.47060023,292,10777,1478827.65533750,0
1685916000000,0.072840,0.073350,0.072840,0.072910,149743,1685919599999,20485246.60497221,1888,73749,10091693.94769921,0
1685919600000,0.072920,0.073060,0.072340,0.072450,164861,1685923199999,22708106.20968347,1903,73779,10161300.48721385,0
